ISIC4,Activity
3311,تعمیر محصولات فلزی ساخته شده
3312,تعمیر ماشین آلات
3313,تعمیر تجهیزات الکترونیکی و اپتیکی
3314,تعمیر تجهیزات برقی
3315,تعمیر تجهیزات حمل ونقل- بجز وسایل نقلیه موتوری
3319,تعمیر سایر تجهیزات
3320,نصب ماشين آلات و تجهيزات صنعتي
3400,فعالیت های کشت و صنعت
3510,توليد، انتقال و توزيع برق
3520,توليد گاز، توزيع سوخت‌هاي گازي از طريق شاه‌لوله
3530,تامين بخار و تهويه هوا
3600,جمع آوري، تصيفه و تامين آب
3700,فاضلاب
3811,جمع‌آوري پسماند بي خطر
3812,جمع‌آوری پسماند خطرناك
3821,تصفيه و دفع پسماند بي خطر
3822,تصفيه و دفع پسماند خطرناك
3830,بازيافت مواد
3900,فعاليت‌های تصفيه و ساير خدمات مديريت پسماند
4100,ساخت بنا
4210,ساخت جاده و راه‌آهن
4220,ساخت پروژه‌هاي تاسيسات شهري
4290,ساخت ساير پروژه‌هاي مهندسي عمران
4311,تخريب
4312,آماده‌سازي محوطه
4321,تاسيسات برق
4322,تاسيسات  لوله‌كشي، گرمايش و تهويه هوا
4329,ساير تاسيسات ساختمان
4330,پايان‌دهي و تكميل بنا
4390,ساير فعاليت‌هاي تخصصي ساختمان
4510,فروش وسايل نقليه موتوري
4520,تعمير و نگهداري انواع وسايل نقليه موتوري
4530,فروش قطعات و لوازم الحاقي وسايل نقليه موتوري
4540,فروش، نگهداري و تعمير موتور سيكلت و قطعات يدكي و لوازم الحاقي مربوط
4610,عمده‌فروشي براساس حق‌الزحمه يا قرارداد
4620,عمده‌فروشي مواد خام كشاورزي وحيوانات زنده
4630,عمده فروشي مواد غذايي ، آشاميدني ها، توتون و تنباكو
4641,عمده‌فروشي منسوجات ‏، پوشاك، پاپوش
4649,عمده‌فروشي ساير كالاهاي خانگي
4651,عمده ‌فروشي رايانه، تجهيزات جانبي رايانه و نرم‌افزار
